president_name,speech_title,speech_date,speech_duration
Rutherford B. Hayes,Veto Message Regarding Military Legislation,"June 15, 1880",3584
Donald Trump,State of the Union Address,"February 04, 2020",6341
George Washington,Talk to the Cherokee Nation,"August 29, 1796",1602
Millard Fillmore,Message Regarding Compromise with Texas,"August 06, 1850",3212
Franklin D. Roosevelt,Fireside Chat 15: On National Defense,"May 26, 1940",3853
Bill Clinton,State of the Union Address,"January 27, 1998",7290
John F. Kennedy,Debate with Richard Nixon in Chicago,"September 26, 1960",10964
James K. Polk,Message to Senate Regarding Oregon,"June 10, 1846",632
Martin Van Buren,Special Session Message,"September 04, 1837",11728
Barack Obama,Address Before a Joint Session of Congress,"February 24, 2009",6051
Herbert Hoover,Address on Kellogg-Briand Pact,"July 24, 1929",1091
Andrew Johnson,Message Reestablishing Governments in Former Confederate States,"May 29, 1865",1028
John Quincy Adams,Second Annual Address,"December 05, 1826",7713
John F. Kennedy,Address to the National Association of Manufacturers,"December 06, 1961",6497
Lyndon B. Johnson,Speech to the Nation on Civil Disorders,"July 27, 1967",1887
Benjamin Harrison,Message Regarding US-Chilean Affairs,"January 28, 1892",303
Joe Biden,Speech on the Third Anniversary of the January 6th Attack,"January 05, 2024",4158
Abraham Lincoln,Farewell Address,"February 11, 1861",151
Herbert Hoover,Message Regarding Law Enforcement,"April 28, 1930",610
George W. Bush,State of the Union Address,"January 28, 2008",5698
John F. Kennedy,"""Ich bin ein Berliner"" Speech","June 26, 1963",673
John Quincy Adams,Speech to the U.S. House of Representatives on Foreign Policy,"July 04, 1821",445
Donald Trump,Address at West Point Graduation,"June 13, 2020",2900
Thomas Jefferson,Address to Brother Handsome Lake,"November 03, 1802",913
Franklin D. Roosevelt,Fourth Inaugural Address,"January 20, 1945",545
George W. Bush,Remarks on Signing the Economic Growth and Tax Relief Reconciliation Act,"June 07, 2001",898
Franklin D. Roosevelt,"Fireside Chat 9: On ""Court-Packing""","March 09, 1937",4056
Abraham Lincoln,"At Peoria, Illinois","October 16, 1854",32994
Martin Van Buren,Special Message about the Desctruction of Steamboat “Caroline”,"January 02, 1841",866
Dwight D. Eisenhower,First Inaugural Address,"January 20, 1953",2445
Theodore Roosevelt,Inaugural Address,"March 04, 1905",910
George H. W. Bush,Debate with Michael Dukakis,"September 25, 1988",12277
Grover Cleveland,Third Annual Message,"December 06, 1887",5289
Lyndon B. Johnson,Statement on the Resumption of Bombing in North Vietnam,"January 31, 1966",805
Barack Obama,Speech on Strategy in Afghanistan and Pakistan,"December 01, 2009",4643
Herbert Hoover,"Campaign speech in Indianapolis, Indiana.","October 28, 1932",8686
Barack Obama,Speech on Economic Mobility,"December 04, 2013",6576
Ronald Reagan,"""Evil Empire"" Speech","March 08, 1983",3844
Woodrow Wilson,Message Regarding Banking System,"June 23, 1913",1178
Richard M. Nixon,Remarks on Departure From the White House,"August 09, 1974",1793
Jimmy Carter,Statement on the Iran Rescue Mission,"April 25, 1980",815
Ulysses S. Grant,Veto Message on Monetary Legislation,"April 22, 1874",1482
Donald Trump,State of the Union Address,"January 30, 2018",5105
John Tyler,Veto Message Regarding Infrastructure Improvements,"June 11, 1844",1611
Woodrow Wilson,Message Regarding Women’s Suffrage,"September 08, 1916",1300
Ronald Reagan,Speech to the Nation on U.S. Policy in the Middle East,"September 01, 1982",2897
Barack Obama,Speech on Gun Violence,"April 08, 2013",3276
Ulysses S. Grant,Proclamation Celebrating the Hundredth Anniversary of Independence,"June 26, 1876",299
Richard M. Nixon,Address to the Nation on the Situation in Southeast Asia,"May 08, 1972",2223
George W. Bush,Remarks on No Child Left Behind Bill,"January 08, 2002",2306
Franklin D. Roosevelt,State of the Union Address,"January 07, 1943",4536
Ronald Reagan,Farewell Address,"January 11, 1989",3289
William McKinley,Third Annual Message,"December 05, 1899",22818
Grover Cleveland,Proclamation Regarding Railroad Strike,"July 08, 1894",426
Lyndon B. Johnson,Press Conference,"February 02, 1967",3242
Grover Cleveland,Message Regarding Chinese Immigrant Workers,"March 01, 1886",1722
Joe Biden,Remarks Commemorating the 100th Anniversary of the Tulsa Race Massacre,"June 01, 2021",4810
Andrew Jackson,Veto Message of Internal Improvement Legislation,"December 06, 1832",591
Harry S. Truman,Inaugural Address,"January 20, 1949",2263
Bill Clinton,Second Inaugural,"January 20, 1997",2154
Franklin D. Roosevelt,Fireside Chat 12: On the Recession,"April 14, 1938",4608
James K. Polk,Message Regarding Settlement with Mexico,"August 08, 1846",499
Bill Clinton,Address on Somalia,"October 07, 1993",1860
Chester A. Arthur,Address Upon Assuming the Office of the President,"September 22, 1881",433
Gerald Ford,Address on Energy Policy,"May 27, 1975",1353
Warren G. Harding,An Association of Nations,"July 22, 1920",523
Ronald Reagan,Second Inaugural Address,"January 21, 1985",2561
James Madison,Proclamation on Day of Public Humiliation and Prayer,"July 23, 1813",799
Warren G. Harding,Speech Upon Arrival of World War One Dead for Burial,"May 23, 1921",688
James Monroe,Eighth Annual Message,"December 07, 1824",8403
Richard M. Nixon,Address to the Nation on the Situation in Southeast Asia,"April 30, 1970",2699
Benjamin Harrison,Second Annual Message,"December 01, 1890",11520
George H. W. Bush,Remarks at Texas A&M University,"December 15, 1992",3740
Theodore Roosevelt,Sixth Annual Message,"December 03, 1906",23575
George W. Bush,Remarks on Stem Cell Research Policy,"July 19, 2006",1655
Herbert Hoover,Message on the Economy,"November 05, 1929",989
James Madison,Proclamation of Day of Fasting and Prayer,"July 09, 1812",311
Calvin Coolidge,First Annual Message,"December 06, 1923",6702
Grover Cleveland,Second Inaugural Address,"March 04, 1893",1863
Lyndon B. Johnson,A Conversation with President Lyndon Johnson,"December 19, 1967",8931
William Taft,Message Regarding US-Canadian Relations,"January 26, 1911",2285
George H. W. Bush,State of the Union Address,"January 28, 1992",5078
Harry S. Truman,Announcing the Surrender of Germany,"May 08, 1945",699
Bill Clinton,Remarks to the Congregation of St. Paul's AME Church,"November 03, 1996",3147
James K. Polk,Fourth Annual Message to Congress,"December 05, 1848",21288
Martin Van Buren,Second Annual Message to Congress,"December 03, 1838",11475
Jimmy Carter,Remarks at President Carter's Press Conference,"March 09, 1977",4861
Rutherford B. Hayes,Message Regarding Election Regulations,"May 12, 1879",2380
Donald Trump,Coronavirus Task Force Briefing,"April 13, 2020",26215
Ronald Reagan,"Address on the Space Shuttle ""Challenger""","January 28, 1986",648
Woodrow Wilson,Message Regarding Safety of Merchant Ships,"February 26, 1917",1639
Lyndon B. Johnson,Remarks on Vietnam at Syracuse University,"August 05, 1964",1072
Andrew Jackson,Third Annual Message to Congress,"December 06, 1831",7172
Andrew Johnson,Announcement of the Successful Suppression of the Rebellion,"December 18, 1865",643
Franklin D. Roosevelt,Fireside Chat 1: On the Banking Crisis,"March 12, 1933",1793
Barack Obama,Speech on Health Care Reform,"March 15, 2010",4237
Ronald Reagan,"""A Time for Choosing""","October 27, 1964",4573
William McKinley,First Annual Message,"December 06, 1897",12111
Lyndon B. Johnson,Press Conference,"July 28, 1965",5180
Grover Cleveland,Message on Federal Employee Political Involvement,"July 14, 1886",360
Joe Biden,Remarks on the Anniversary of the Coronavirus Shutdown,"March 11, 2021",3243
James K. Polk,Inaugural Address,"March 04, 1845",4796
John F. Kennedy,"""City Upon a Hill"" Speech","January 09, 1961",873
George W. Bush,State of the Union Address,"February 02, 2005",5016
Franklin D. Roosevelt,Fireside Chat 20: On the Progress of the War,"February 23, 1942",4272
James Buchanan,Fourth Annual Message,"December 03, 1860",14028
Thomas Jefferson,Message to the Inhabitants of Albemarle County,"April 03, 1809",337
Ulysses S. Grant,First Annual Message,"December 06, 1869",7687
Donald Trump,Remarks on Combating the Opioid Crisis,"March 19, 2018",4919
Jimmy Carter,Farewell Speech,"January 14, 1981",2163
John F. Kennedy,Address at the University of North Carolina,"October 12, 1961",1885
John Tyler,Second Annual Message,"December 06, 1842",8401
Franklin Pierce,Message Regarding Disturbances in Kansas,"January 24, 1856",4202
Franklin D. Roosevelt,The Tehran Declaration,"December 01, 1943",347
George W. Bush,Speech on New Mother and Child HIV Prevention Initiative,"June 19, 2002",938
Ulysses S. Grant,Message Regarding Insurrection in Cuba,"June 13, 1870",2541
Thomas Jefferson,Third Annual Message,"October 17, 1803",2295
Richard M. Nixon,Address to the Nation on the Situation in Southeast Asia,"April 07, 1971",2570
Jimmy Carter,"""Crisis of Confidence"" Speech","July 15, 1979",3600
Ulysses S. Grant,Message Approving Specie Resumption Act,"January 14, 1875",1070
Donald Trump,Speech at the Boy Scout Jamboree,"July 24, 2017",4259
Andrew Jackson,Message Regarding the Bank of the United States,"September 18, 1833",7390
John F. Kennedy,Remarks at Amherst College,"October 26, 1963",1858
Barack Obama,Remarks on the Afghanistan Pullout,"June 22, 2011",2036
Herbert Hoover,Statement Regarding Economic Recovery,"December 11, 1931",819
Andrew Johnson,Messages Regarding Correspondence with General U.S. Grant,"February 11, 1868",6261
Donald Trump,Address to the American People,"June 21, 2025",525
Lyndon B. Johnson,Remarks at the Manned Space Flight Center,"June 11, 1965",1114
George Washington,Proclamation of Militia Service,"September 25, 1794",652
Joe Biden,Remarks on Fighting the COVID-⁠19 Pandemic,"September 09, 2021",3495
Grover Cleveland,Declaration of US Neutrality,"June 12, 1895",364
Lyndon B. Johnson,Remarks on the 20th Anniversary of the U.N. Charter,"June 25, 1965",3618
George Washington,Sixth Annual Message to Congress,"November 19, 1794",2921
Joe Biden,Statement on Terror Attacks in Afghanistan,"August 26, 2021",3461
Grover Cleveland,Announcement of Treasury Bond Sale,"February 08, 1895",730
Andrew Jackson,Second Inaugural Address,"March 04, 1833",1174
Lyndon B. Johnson,Address to Joint Session of Congress,"November 27, 1963",1615
Barack Obama,Address to the British Parliament,"May 25, 2011",4263
Herbert Hoover,Third State of the Union Address,"December 08, 1931",5680
Donald Trump,Address before the 80th United Nations General Assembly,"September 23, 2025",8238
Andrew Johnson,Message Regarding the Removal of Secretary Stanton,"February 22, 1868",3225
Thomas Jefferson,Instructions to Captain Lewis,"June 20, 1803",2394
Ulysses S. Grant,Message Regarding Dominican Republic Annexation,"May 31, 1870",1086
Richard M. Nixon,Remarks Announcing an Agreement on Strategic Arms Limitation Talks,"May 20, 1971",269
Ronald Reagan,Announcement for Presidential Candidacy,"November 13, 1979",3643
Ulysses S. Grant,Veto of Legislation Fixing the Presidential Salary,"April 18, 1875",405
Donald Trump,Address to the United Nations General Assembly,"September 19, 2017",4563
John F. Kennedy,Address to the UN General Assembly,"September 25, 1961",4428
John Tyler,Message to Congress Regarding US-Hawaiian Relations,"December 30, 1842",1487
Franklin Pierce,Third Annual Message,"December 31, 1855",11610
Franklin D. Roosevelt,Fireside Chat 27: On the Tehran and Cairo Conferences,"December 24, 1943",3412
George W. Bush,Remarks at the UN General Assembly,"September 12, 2002",2801
Ulysses S. Grant,Proclamation Establishing Eight Hour Workday,"May 19, 1869",165
James Madison,First Inaugural Address,"March 04, 1809",1173
Donald Trump,Speech at the Veterans of Foreign Wars National Convention,"July 24, 2018",5967
Ronald Reagan,First Inaugural Address,"January 20, 1981",2421
James K. Polk,First Annual Message,"December 02, 1845",16106
John F. Kennedy,Debate with Richard Nixon in New York,"October 21, 1960",10863
George W. Bush,Remarks on Hurricane Katrina Relief Efforts,"August 31, 2005",1145
Franklin D. Roosevelt,Fireside Chat 21: On Sacrifice,"April 28, 1942",3864
James Buchanan,Addendum to March 28 Message to Congress,"June 22, 1860",3291
Lyndon B. Johnson,State of the Union,"January 04, 1965",4337
William McKinley,Message Regarding Banking and Currency Laws,"July 24, 1897",574
Lyndon B. Johnson,Press Conference in the East Room,"July 13, 1965",4249
Grover Cleveland,Message on the Statue of Liberty,"May 11, 1886",539
Joe Biden,Inaugural Address,"January 20, 2021",2380
Lyndon B. Johnson,Acceptance Speech at the Democratic National Convention,"August 27, 1964",4552
Andrew Jackson,Message Regarding Indian Relations,"February 22, 1831",2611
Andrew Johnson,Veto Message on Freedmen and Refugee Relief Bureau Legislation,"February 19, 1866",3879
Franklin D. Roosevelt,First Inaugural Address,"March 04, 1933",1893
Barack Obama,News Conference on Congressional Gridlock,"February 09, 2010",5202
Jimmy Carter,Address to the Nation on Energy,"April 18, 1977",2627
Rutherford B. Hayes,Veto Messages Regarding Appropriations Legislation,"May 29, 1879",4124
Donald Trump,Press Briefing with the Coronavirus Task Force,"April 15, 2020",9718
Ronald Reagan,Speech on the Geneva Summit,"November 21, 1985",2381
Woodrow Wilson,Message Regarding US-German Relations,"February 03, 1917",1485
Harry S. Truman,Statement by the President Announcing the Use of the A-Bomb at Hiroshima,"August 06, 1945",1153
Bill Clinton,Presidential Debate with Senator Bob Dole,"October 06, 1996",16890
James K. Polk,Message Regarding War-time Measures,"January 02, 1849",3326
Martin Van Buren,Message Regarding Disputes on the Maine-Canadian Border,"February 16, 1839",2100
Benjamin Harrison,Message Regarding Hawaiian Annexation,"February 15, 1893",655
Lyndon B. Johnson,Press Conference,"November 17, 1967",5489
William Taft,Third Annual Message,"December 05, 1911",23750
George H. W. Bush,Republican National Convention,"August 20, 1992",4983
George W. Bush,State of the Union Address,"January 31, 2006",5278
Herbert Hoover,Message Regarding “Black Thursday”,"October 25, 1929",207
James Madison,Fourth Annual Message,"November 04, 1812",3241
Calvin Coolidge,Second Annual Message,"December 03, 1924",6967
Richard M. Nixon,State of the Union Address,"January 22, 1970",4455
Benjamin Harrison,Proclamation Regarding Indian Title to Land,"October 23, 1890",946
George H. W. Bush,Address at West Point,"January 05, 1993",3285
Theodore Roosevelt,Message Regarding the State of Puerto Rico,"December 11, 1906",1490
James Madison,Fifth Annual Message,"December 07, 1813",3257
Warren G. Harding,Opening Speech of the Conference on Limitation of Armament,"November 12, 1921",550
James Monroe,Seventh Annual Message (Monroe Doctrine),"December 02, 1823",6354
Chester A. Arthur,First Annual Message,"December 06, 1881",10821
Gerald Ford,Remarks in Helsinki,"August 01, 1975",2769
Warren G. Harding,Enduring Popular Government,"July 22, 1920",541
Ronald Reagan,Debate with Walter Mondale (Defense and Foreign Policy),"October 21, 1984",13801
Harry S. Truman,Report to the American People on Korea,"April 11, 1951",2449
Bill Clinton,State of the Union Address,"February 04, 1997",6746
Franklin D. Roosevelt,Fireside Chat 13: On Purging the Democratic Party,"June 24, 1938",3542
James K. Polk,Second Annual Message to Congress,"December 08, 1846",18217
Bill Clinton,Address on Health Care Reform,"September 22, 1993",7170
Andrew Jackson,Fourth Annual Message to Congress,"December 04, 1832",7857
George H. W. Bush,Inaugural Address,"January 20, 1989",2308
William McKinley,Speech Accepting the Republican Nomination,"July 12, 1900",2016
Grover Cleveland,Veto Message of Monetary Legislation,"March 29, 1894",3083
Lyndon B. Johnson,State of the Union Address,"January 10, 1967",14214
Grover Cleveland,First Annual Message,"December 08, 1885",19749
Joe Biden,Address to Joint Session of Congress,"April 28, 2021",7947
George W. Bush,State of the Union Address,"January 29, 2002",3817
Franklin D. Roosevelt,Fireside Chat 24: On the Coal Crisis,"May 02, 1943",2490
Woodrow Wilson,Speech Accepting the Democratic Nomination,"September 02, 1916",5522
Ronald Reagan,Address on Tax and Budget Legislation,"August 16, 1982",3033
Barack Obama,Address to the People of Israel,"March 21, 2013",5524
Ulysses S. Grant,Eighth Annual Message,"December 05, 1876",6790
Richard M. Nixon,Remarks on Election Eve,"November 06, 1972",589
John Tyler,Fourth Annual Message,"December 03, 1844",9313
Barack Obama,Address to the Nation on Syria,"September 10, 2013",2205
Ronald Reagan,Speech at the Conservative Political Action Conference,"February 18, 1983",4997
Woodrow Wilson,Message Regarding Tariff Duties,"April 08, 1913",1150
Gerald Ford,Remarks on Pardoning Richard Nixon,"September 08, 1974",1091
Ronald Reagan,Republican National Convention,"July 17, 1980",4648
Ulysses S. Grant,Proclamation Regarding Disturbances in Louisiana,"September 15, 1874",455
Donald Trump,Remarks at the House and Senate Republican Member Conference,"February 01, 2018",0
Barack Obama,Address to Congress on Health Care,"September 09, 2009",5546
Herbert Hoover,Campaign Speech in Madison Square Garden,"October 21, 1932",6570
Theodore Roosevelt,Fifth Annual Message,"December 05, 1905",25033
Ronald Reagan,Address to the United Nations,"September 26, 1988",4889
Grover Cleveland,Veto of Texas Seed Bill,"February 16, 1887",582
Lyndon B. Johnson,State of the Union,"January 12, 1966",5480
Franklin D. Roosevelt,Joint Statement with Churchill and Stalin on the Yalta Conference,"February 11, 1945",2008
George W. Bush,Address to the Nation on Stem Cell Research,"August 09, 2001",1739
Franklin D. Roosevelt,Quarantine Speech,"October 05, 1937",1852
Franklin Pierce,Veto Message on Legislation Funding Public Works,"August 04, 1854",520
William Harrison,Inaugural Address,"March 04, 1841",8423
Harry S. Truman,Farewell Address,"January 15, 1953",3703
Donald Trump,"Campaign Rally in Tulsa, Oklahoma","June 20, 2020",12646
Thomas Jefferson,Response to Danbury Baptist Association,"January 01, 1802",234
James Buchanan,"Message Regarding the Presence of Troops in Washington, DC","March 01, 1861",580
Herbert Hoover,Statement Regarding Business and Unemployment,"March 07, 1930",399
George W. Bush,Speech on Comprehensive Immigration Reform,"April 09, 2007",3587
John F. Kennedy,Address on the Nuclear Test Ban Treaty,"July 26, 1963",3099
James Monroe,Second Inaugural Address,"March 05, 1821",4461
Lyndon B. Johnson,"Address After Ordering Federal Troops to Detroit, Michigan","July 24, 1967",889
Benjamin Harrison,Message Regarding Valparaiso Incident,"January 25, 1892",6001
Joe Biden,Remarks on the US Response in Support of Israel and Ukraine,"October 20, 2023",2310
Barack Obama,Remarks on the American Recovery and Reinvestment Act,"February 07, 2009",2530
Herbert Hoover,Message Regarding the Farm Bill,"June 11, 1929",365
Andrew Johnson,Message Regarding Control of Abandoned Lands and Property,"June 02, 1865",273
John Quincy Adams,First Annual Message,"December 06, 1825",8966
John F. Kennedy,Address in Miami at the Opening of the AFL-CIO Convention,"December 07, 1961",4147
Zachary Taylor,Message Regarding Treaty with Great Britain,"April 22, 1850",986
Franklin D. Roosevelt,"""Stab in the Back"" Speech","June 10, 1940",1961
Bill Clinton,Remarks to the People of Ghana,"March 23, 1998",1665
John F. Kennedy,Address to the Greater Houston Ministerial Association,"September 12, 1960",1506
James K. Polk,Veto Message Regarding Funding Internal Improvements,"August 03, 1846",2942
Martin Van Buren,First Annual Message to Congress,"December 05, 1837",11435
Gerald Ford,State of the Union Address,"January 15, 1975",4107
Rutherford B. Hayes,Fourth Annual Message,"December 06, 1880",13333
Donald Trump,Remarks after His Acquittal,"February 06, 2020",9804
George Washington,"Message to the House of Representatives, Declining to Submit Diplomatic Instructions and Corresponde","March 30, 1796",1065
